mobile,total_spent,avg_transaction_value,max_purchase_amount,min_purchase_amount,purchase_count,first_purchase,last_purchase,days_since_first_purchase,days_since_last_purchase
916000728926,26785.96,3348.245,7118.2,0.0,8,1970-05-11,2021-11-07,20052.0,1244.0
916006279398,40381.94,4038.1940000000004,8499.79,0.0,10,1977-09-27,2018-08-25,17356.0,2414.0
916007263971,19507.31,4876.8275,7801.18,527.3,4,1980-07-13,2015-07-30,16336.0,3536.0
916010621799,11310.06,3770.02,4221.05,3112.81,3,2011-10-15,2020-07-02,4920.0,1737.0
916012178595,58437.020000000004,6493.002222222222,9651.86,3565.66,9,1973-01-08,2016-01-24,19079.0,3358.0
916012951344,23716.34,3952.7233333333334,7790.21,0.0,6,1978-07-07,2021-10-26,17073.0,1256.0
916022313296,38986.770000000004,4873.3462500000005,9175.6,0.0,8,1978-01-19,2006-09-04,17242.0,6787.0
916027418321,19834.47,6611.490000000001,9905.27,4766.49,3,1998-04-19,2019-12-01,9847.0,1951.0
916030884438,26361.21,8787.07,9942.2,6493.78,3,1975-01-20,2025-01-22,18337.0,72.0
916033199694,54622.26,5462.226000000001,9844.47,0.0,10,1971-08-27,2022-10-02,19579.0,915.0
916033599984,28745.18,3193.908888888889,9829.11,0.0,9,1975-11-04,2024-02-20,18049.0,409.0
916035121678,35105.07,4388.13375,9664.5,0.0,8,1970-01-30,2024-07-18,20153.0,260.0
916039887139,54114.89,6764.36125,9668.93,2659.37,8,1977-09-28,2022-07-30,17355.0,979.0
916053002550,35571.6,5081.657142857142,9283.17,1121.87,7,1971-08-25,2020-02-07,19581.0,1883.0
916054395639,24589.12,3512.7314285714283,8478.32,731.56,7,1978-04-22,2014-12-07,17149.0,3771.0
916067779246,23289.08,3327.011428571429,9066.01,0.0,7,1986-08-30,2019-09-14,14097.0,2029.0
916069759864,37657.03,3765.703,6466.32,864.46,10,1972-10-16,2018-04-18,19163.0,2543.0
916076317824,52789.07,5865.452222222222,8997.37,968.7,9,1974-09-21,2021-06-30,18458.0,1374.0
916078299575,3479.4799999999996,1159.8266666666666,2063.72,269.98,3,1978-06-06,2020-08-09,17104.0,1699.0
916083651970,32461.37,6492.273999999999,9562.14,1493.76,5,1970-05-10,2021-12-02,20053.0,1219.0
916083880626,26817.44,6704.36,9615.57,3977.86,4,1992-12-27,2016-11-30,11786.0,3047.0
916084790270,27943.35,5588.67,9688.52,215.69,5,2004-12-31,2013-10-04,7399.0,4200.0
916086899610,45996.880000000005,6570.982857142858,9439.68,711.59,7,1982-09-10,2016-12-21,15547.0,3026.0
916089578218,46908.93,5212.1033333333335,8961.03,0.0,9,1974-02-09,2021-03-04,18682.0,1492.0
916094116768,58596.43,6510.714444444445,9780.01,897.16,9,1979-10-12,2025-03-06,16611.0,29.0
916106110279,42489.28,6069.897142857143,8756.77,1970.04,7,1974-05-10,2014-12-19,18592.0,3759.0
916110724913,24830.23,4966.046,8812.32,1145.88,5,1975-11-18,2022-07-26,18035.0,983.0
916117898946,32423.91,4052.98875,9481.49,187.2,8,1980-05-04,2013-01-08,16406.0,4469.0
916118543408,30975.7,6195.14,9628.54,4249.49,5,1972-12-17,1987-04-18,19101.0,13866.0
916125857393,30550.43,5091.738333333334,8975.19,1689.67,6,1972-10-08,2011-01-08,19171.0,5200.0
916138428506,48906.34,4890.634,9493.96,666.67,10,1972-01-08,2024-06-24,19445.0,284.0
916139093888,44308.61,4430.861,9642.22,0.0,10,1978-12-23,2012-10-30,16904.0,4539.0
916157437641,38843.6,6473.933333333333,9778.82,4639.67,6,1980-07-29,2014-01-17,16320.0,4095.0
916164510971,14307.37,4769.123333333334,9300.6,305.86,3,2018-09-21,2024-03-15,2387.0,385.0
916171055058,48322.12,6903.160000000001,9212.52,1265.43,7,1973-06-08,2013-09-27,18928.0,4207.0
916171347175,17570.81,4392.7025,8747.5,1256.35,4,1977-03-10,1977-03-10,17557.0,17557.0
916172893522,54474.93,6809.36625,9588.48,2336.62,8,1976-12-07,2004-10-27,17650.0,7464.0
916172907376,28516.41,3564.55125,7017.22,1299.76,8,1983-12-16,2024-04-27,15085.0,342.0
916180674181,19731.07,4932.7675,8011.03,1075.89,4,1980-04-03,2015-11-10,16437.0,3433.0
916183860832,19857.54,4964.385,7754.65,235.44,4,1980-08-26,2021-04-14,16292.0,1451.0
916196346343,20303.49,4060.6980000000003,6247.66,757.32,5,1984-04-13,2022-04-03,14966.0,1097.0
916196615480,19576.65,6525.55,9303.07,1959.93,3,1981-03-27,1986-07-16,16079.0,14142.0
916211703120,4245.24,1061.31,2552.06,0.0,4,1984-04-03,2001-01-08,14976.0,8852.0
916213182609,17043.43,3408.686,6364.7,0.0,5,1998-08-02,2016-08-28,9742.0,3141.0
916215092803,41135.7,4113.57,8756.46,1180.55,10,1971-10-21,2019-03-29,19524.0,2198.0
916217150457,49663.4,4966.34,9148.56,0.0,10,1972-01-04,2011-07-03,19449.0,5024.0
916218035843,18874.620000000003,6291.540000000001,8915.62,1382.81,3,1981-10-06,2016-12-25,15886.0,3022.0
916224908174,44116.18,5514.5225,9701.93,1758.78,8,1984-05-18,2017-10-05,14931.0,2738.0
916225447588,39602.81,6600.468333333333,9139.76,4322.31,6,1973-05-30,2023-07-04,18937.0,640.0
916241030242,14592.08,2918.416,5072.68,206.01,5,1977-10-20,2020-08-24,17333.0,1684.0
916245522987,29470.7,3683.8375,7280.09,0.0,8,1972-08-29,2014-10-20,19211.0,3819.0
916248786714,10437.02,3479.0066666666667,6635.81,0.0,3,1983-10-21,1993-06-13,15141.0,11618.0
916249166485,28242.98,7060.745,9981.95,3119.99,4,2004-03-27,2017-06-27,7678.0,2838.0
916251183830,24041.2,6010.3,9043.92,0.0,4,1987-06-13,2021-02-17,13810.0,1507.0
916257247382,45775.86,5086.206666666667,9748.81,0.0,9,1972-02-01,2018-04-28,19421.0,2533.0
916257324536,7202.68,1800.67,3319.27,807.28,4,1979-11-17,1998-04-08,16575.0,9858.0
916264867118,33992.4,5665.400000000001,8200.47,331.91,6,1973-02-02,2023-11-22,19054.0,499.0
916271515109,28944.79,4134.97,6930.79,599.16,7,1972-09-03,2000-03-06,19206.0,9160.0
916282103057,30633.25,4376.178571428572,8164.98,967.6,7,1978-12-06,2022-02-20,16921.0,1139.0
916287814151,22866.44,4573.288,7544.94,558.24,5,1979-09-16,2023-03-11,16637.0,755.0
916289012242,31683.61,3520.4011111111113,7235.14,615.45,9,1972-11-12,2022-09-03,19136.0,944.0
916289320836,20548.55,2935.5071428571428,7083.25,0.0,7,1972-08-24,2019-06-24,19216.0,2111.0
916294296873,41674.08,6945.68,9736.01,2844.32,6,1973-08-16,2019-07-16,18859.0,2089.0
916294678352,33013.0,4716.142857142857,8496.91,0.0,7,1987-12-02,2019-04-09,13638.0,2187.0
