name,age,income,mobile,gender
Daniel Viswanathan,38.0,409956.78,+917066091571,Female
Azaan Dhar,37.0,2593992.53,+916619986018,Female
Yachana Sagar,70.0,2377048.15,+919078580665,Female
Yug Khosla,34.0,1202890.28,+916183860832,Other
Chaitaly Setty,62.0,1513813.84,+916782878018,Male
Prisha Andra,23.0,2482506.87,+919226113732,Male
Vrishti Dixit,60.0,498359.16,+917518692176,Other
Dipta Ghose,39.0,1996714.26,+918908291293,Male
Kritika Brar,40.0,747095.04,+917146660997,Other
Brinda Bali,30.0,1576360.52,+919725874491,Other
Turvi Sachdev,68.0,1828230.83,+916067779246,Male
Vasudha Chhabra,59.0,364756.83,+919319357265,Other
Ekantika Mander,34.0,2519771.64,+916866179751,Female
Qushi Gole,67.0,310865.5,+918164216179,Female
Fitan Samra,20.0,1296456.25,+917006479526,Other
Netra Varkey,25.0,2034014.28,+916110724913,Male
Radhika Dugar,31.0,2797403.46,+919243839315,Other
Nilima Gole,55.0,2230526.07,+917509834067,Female
Siddharth Gupta,47.0,1199579.84,+918118967967,Male
Isaiah Khosla,59.0,2063701.96,+917463957634,Female
Laksh Dubey,68.0,2206743.48,+917236045959,Male
Chandresh Wali,42.0,1341981.45,+916592135522,Other
Aditya Misra,20.0,2316011.77,+917895655026,Other
Chandresh Manda,26.0,916419.05,+917152798401,Female
Joshua Barman,63.0,2134609.61,+918123333781,Female
Devansh Soni,25.0,2534560.0,+918146750150,Other
Advik Devan,26.0,543813.02,+918587822801,Other
Tanveer Vala,,1482106.64,+918369305560,Male
Yatin Baral,35.0,603713.85,+919011966884,Male
Diya Bora,52.0,1093777.12,+916118543408,Male
Frado Lad,66.0,2807254.12,+918357297588,Female
Kabir Soman,,2431688.66,+916469306919,Male
Devika Rastogi,53.0,429039.88,+918800940984,Other
Lila Rege,57.0,2357627.47,+917632905061,Male
Bhavya Rattan,31.0,2467201.0,+917000721711,Female
Girik Sampath,69.0,2125942.93,+918620258967,Female
Falan Jain,22.0,2278638.85,+916660370908,Male
Ikbal Dugal,39.0,257976.0,+916314597900,Male
Manthan Modi,36.0,212527.85,+919564984187,Other
Azad Choudhary,47.0,2351175.36,+918527974623,Other
Indira Kanda,50.0,1034662.37,+917940955281,Male
Nirja Rout,58.0,809585.17,+919037270171,Male
Adweta Raj,56.0,2170176.94,+916363865392,Female
Udyati Mohanty,49.0,1082774.45,+916010621799,Other
Bhavya Rattan,31.0,2467201.0,+917000721711,Female
Madhavi Lanka,53.0,177558.64,+916323169889,Other
Om Shankar,30.0,1126609.17,+918445569788,Female
Diya Dora,43.0,295799.41,+918412985084,Male
Urvashi Ray,,491676.85,+919823754905,Other
Ranveer Yadav,40.0,2660462.9,+919776436931,Male
Krishna Bhatnagar,29.0,2341570.38,+919289204852,Other
Ishwar Mallick,20.0,509755.57,+917013592436,Other
Shivani Lad,33.0,1022687.19,+918497762234,Female
Jhalak Dugar,51.0,453440.83,+917635825546,Male
Dev Choudhry,65.0,2968188.19,+917604706474,Female
Kamala Biswas,30.0,1627552.27,+918674192109,Female
Charvi Jha,49.0,2273931.05,+916076317824,Male
Gaurangi Mitter,,1756849.21,+917305280521,Other
Anusha Bath,68.0,663162.13,+916751917162,Male
Gabriel Chaudhry,70.0,1741281.07,+918632445649,Male
Orinder Sinha,39.0,1162146.09,+918721554031,Female
Wahab Yogi,39.0,1852152.36,+916662510569,Male
Rohan Shankar,24.0,223346.72,+916733718685,Other
Sachi Panchal,55.0,1934080.44,+917834812535,Other
Janya Baral,59.0,2109723.88,+919833944737,Male
Dev Chaudry,56.0,2432464.7,+916961084962,Female
Viraj Ben,29.0,1537010.11,+918308026394,Other
Logan Sami,28.0,1398826.03,+918333103372,Other
Aarav Pandit,23.0,1647693.97,+918268486276,Other
Gopal Pradhan,45.0,1866991.9,+919531928910,Male
Mason Wable,33.0,327054.35,+916507771858,Female
Darsh Gill,70.0,2204181.73,+916717100421,Female
Aradhana Date,69.0,1299666.19,+916981049082,Male
Pavani Narayanan,22.0,1488048.21,+917138264176,Female
Leela Bali,46.0,2564330.15,+916397129827,Other
Hema Pandya,65.0,845151.9,+916749270915,Other
Hemangini Thakkar,32.0,2690597.0,+918532315957,Other
Abhiram Gala,60.0,2638459.16,+918229516148,Other
Lipika Setty,62.0,2347628.77,+919474816314,Male
Yash Chadha,56.0,1877558.21,+917382308441,Other
Lopa Zachariah,69.0,2556209.65,+917389803385,Male
William Lanka,60.0,700419.9,+917409874348,Female
Tanish Bhatt,37.0,190322.85,+918294092753,Male
Girindra Shere,23.0,1018369.78,+919213909354,Other
Charan Hayer,39.0,1404635.33,+917849482575,Other
Ganga Murthy,44.0,868973.87,+916351784589,Female
Bakhshi Date,53.0,1326130.84,+917788887661,Other
Harish Hari,24.0,1414483.87,+918980712298,Female
Aarav Pandit,23.0,1647693.97,+918268486276,Other
Anamika Kanda,55.0,1288291.44,+916941975480,Male
Urmi Dewan,48.0,1072264.76,+917065354117,Male
Azaan Chand,67.0,891825.85,+917916728422,Male
Bhavani Chacko,20.0,2991939.64,+917705078697,Female
Yochana Sagar,48.0,351860.67,+917645272822,Male
Maanas Munshi,21.0,428404.49,+916997050893,Male
Amol Parikh,47.0,526041.37,+917784234958,Female
Wriddhish Ghose,41.0,406880.12,+917267489756,Female
Jackson Jha,18.0,758250.35,+916334744286,Male
Ayushman Mand,66.0,1615289.54,+917916502228,Male
Urvi Lanka,66.0,1095050.6,+919419786374,Female
Yug Ramaswamy,25.0,1194785.64,+918794049663,Male
Aarush Kamdar,61.0,557131.24,+918278515709,Other
Atharv Grewal,66.0,1514924.5,+917041929790,Other
Gavin Batta,28.0,1687230.24,+919344175247,Other
Abeer Golla,35.0,861393.21,+916487258103,Male
Oni Dubey,20.0,1320947.04,+918904956613,Other
Sachi Ganesan,37.0,279439.48,+917697643337,Other
Chakradev Kannan,38.0,1432427.31,+918921045865,Other
Jagdish Thakkar,34.0,1918600.83,+919354046875,Female
Tamanna Vaidya,60.0,2173852.35,+918895853722,Other
Ijaya Chahal,42.0,163307.04,+918292578829,Male
Gayathri Balakrishnan,26.0,2612476.76,+917186473561,Female
Ladli Purohit,38.0,1851781.61,+916125857393,Female
Patrick Vig,53.0,188972.22,+917752306681,Male
Waida D’Alia,52.0,2530091.51,+919795386003,Other
Dipta Goel,23.0,2054202.35,+919471107346,Other
Girik Khalsa,31.0,2195194.73,+916874443787,Other
Aryan Batra,41.0,1961417.55,+919559270786,Female
Harshil Munshi,25.0,2679642.69,+917892740043,Male
Falan Jain,22.0,2278638.85,+916660370908,Male
Wazir Naik,27.0,1714092.1,+919123449625,Other
Praneel Chhabra,29.0,933698.04,+917915604499,Male
Tanish Jha,67.0,2094269.23,+918036231979,Male
Mitali Majumdar,34.0,298712.44,+918064121137,Female
Caleb Verma,29.0,2043458.21,+916367709135,Other
Chasmum Subramanian,38.0,2890187.19,+918521300895,Male
Gagan Sami,45.0,234922.08,+916939042955,Male
William Maharaj,62.0,1443174.0,+917316935719,Female
Yashasvi Shankar,67.0,391393.62,+919870349834,Other
Jalsa Nadig,57.0,1859860.78,+919078022953,Other
Bhavika Sampath,52.0,252680.19,+917585770584,Other
Yasti Rama,26.0,2205657.11,+918814924004,Female
Jeremiah Nadig,,1213621.97,+918653582116,Other
Shravya Bera,53.0,666237.19,+916419201975,Female
Chanchal Sheth,,2811684.54,+916566862173,Female
Vivaan Walla,32.0,1968142.03,+916225447588,Male
Niharika Sunder,34.0,1590415.82,+917078557553,Male
Advay Lal,46.0,365221.38,+919412775111,Male
Ikbal Gala,35.0,1199802.99,+917993803105,Other
Lipika Madan,26.0,1474398.26,+918192202822,Male
Amara Dutta,65.0,2605260.49,+917933034905,Female
Lavanya Barad,58.0,940337.36,+919340087993,Other
Nidhi Sethi,18.0,1782248.0,+917692568000,Other
Ethan Bera,42.0,1779979.67,+918468798461,Female
Radha Chaudhari,36.0,2082920.99,+918547492192,Female
Indali Divan,66.0,604125.87,+918210726347,Female
Lakshmi Parmer,66.0,1756646.13,+918488796494,Female
Jagat Dave,62.0,1953772.02,+918473382684,Male
Chameli Mani,19.0,2251556.85,+919792874364,Male
Sachi Bose,20.0,2639818.31,+916808155185,Other
Pushti Ramachandran,35.0,2007023.9,+918204526134,Male
Irya Ray,53.0,860215.1,+919643576871,Male
Harish Devan,38.0,2549657.86,+918660345628,Male
Nimrat Dubey,23.0,2276418.52,+916923988689,Female
Baghyawati Raja,30.0,2304346.52,+917233708056,Female
Reva Viswanathan,68.0,2920362.06,+918484528348,Other
Nidra Sharaf,69.0,1699421.55,+916083880626,Female
Mitali Kamdar,24.0,1608016.64,+918652992543,Male
Gaurangi Sabharwal,45.0,2517122.13,+918353092123,Female
Charvi Dara,62.0,484634.88,+919934750046,Female
Faqid Kibe,53.0,254586.82,+916378213925,Female
Chandani Gaba,57.0,724173.49,+916560448350,Female
Urmi Wagle,54.0,2029327.92,+916627920145,Other
Nathaniel Tara,46.0,1737407.34,+918200916676,Female
Yutika Narang,63.0,984008.89,+918459880594,Female
Eesha Solanki,69.0,1372970.37,+918409329326,Other
Gautam Merchant,38.0,1874266.63,+918153356179,Male
Ekiya Suresh,22.0,1615344.94,+917196050747,Other
Anika Magar,55.0,391543.11,+916575301286,Female
Dhriti Sachdev,50.0,530514.47,+919521713809,Female
Maanas Rao,32.0,206794.77,+918052947074,Male
Inaya Mody,35.0,1107165.48,+919835521053,Other
Avi Ramesh,31.0,1932717.84,+917136646449,Other
Tanay Toor,45.0,1135208.27,+919377683299,Female
Manbir Ahluwalia,23.0,944945.51,+917936179853,Male
Veda Malhotra,65.0,407581.09,+916422809996,Other
Megha Atwal,39.0,382280.66,+918850192297,Male
Ekavir Bhargava,68.0,1733939.72,+919085540042,Female
Tanmayi Aurora,43.0,348318.45,+919182437887,Other
Anya Gulati,22.0,897228.04,+916171055058,Male
Ijaya Muni,44.0,1874190.53,+916383484123,Male
Vihaan Rajagopal,24.0,2522990.84,+917272368870,Male
Viraj Dutta,40.0,265196.5,+919270498955,Female
Unni Bhagat,38.0,830254.96,+917699887270,Male
Idika Bhattacharyya,55.0,2202034.02,+917267841227,Male
Chakrika Bains,54.0,1982526.72,+918682300615,Female
Kashvi Bhasin,23.0,1809622.83,+917111626210,Male
Saumya Ahluwalia,33.0,1423196.24,+917146731886,Female
Widisha Dhar,36.0,478244.11,+916089578218,Female
Ayush Gole,46.0,2854147.06,+917597785308,Female
Kevin Solanki,50.0,2576326.25,+916294296873,Other
Aahana Pillay,35.0,667244.07,+918513971584,Female
Chasmum Issac,34.0,712224.64,+918587283948,Male
Diya Rattan,28.0,2407426.19,+917813163240,Other
Nilima Narain,67.0,2878263.97,+916172907376,Male
Zaid Bahl,55.0,756367.96,+916157437641,Other
Isha Kadakia,38.0,755985.65,+918144181937,Female
Charvi Kakar,26.0,1382962.12,+919911479401,Male
Hardik Suri,46.0,1890196.95,+919231495430,Other
Gavin Uppal,51.0,2087950.77,+916039887139,Male
Farhan Raja,54.0,1373460.22,+917736983049,Other
Charvi Ravi,34.0,2335659.58,+916720648887,Other
Chakradev Barad,26.0,591593.74,+917270417388,Male
Rachit Sankar,44.0,1555283.68,+917626558140,Female
Janaki Handa,59.0,353497.15,+918727210979,Male
Qushi Deshpande,46.0,277158.24,+917888670721,Female
Chandani Soman,52.0,1842386.84,+919927323476,Male
