mobile,month,total_spent,num_purchases
916000728926,1970-05,7118.2,1
916000728926,1999-05,4531.93,1
916000728926,2000-11,2461.54,1
916000728926,2004-06,322.19,1
916000728926,2004-10,0.0,1
916000728926,2010-06,2950.17,1
916000728926,2021-11,6866.42,1
916000728926,NaT,2535.51,0
916006279398,1977-09,0.0,1
916006279398,1979-02,7301.23,1
916006279398,1987-11,6443.95,1
916006279398,1988-01,8499.79,1
916006279398,1990-02,6374.59,1
916006279398,1998-12,1988.98,1
916006279398,2002-08,2782.45,1
916006279398,2013-10,5755.79,1
916006279398,2018-08,863.28,1
916006279398,NaT,371.88,0
916007263971,1980-07,7801.18,1
916007263971,1981-06,527.3,1
916007263971,2012-10,4328.0,1
916007263971,2015-07,6850.83,1
916010621799,2011-10,3976.2,1
916010621799,2013-12,4221.05,1
916010621799,2020-07,3112.81,1
916012178595,1973-01,9651.86,1
916012178595,1974-12,3838.95,1
916012178595,1978-01,6745.04,1
916012178595,1980-07,3565.66,1
916012178595,2011-02,6010.79,1
916012178595,2016-01,8375.25,1
916012178595,NaT,20249.47,0
916012951344,1978-07,3042.18,1
916012951344,1985-05,6141.59,1
916012951344,2010-06,7790.21,1
916012951344,2018-02,3397.03,1
916012951344,2021-09,3345.33,1
916012951344,2021-10,0.0,1
916022313296,1978-01,4483.25,1
916022313296,1980-07,4880.99,1
916022313296,1986-01,0.0,1
916022313296,1993-10,7311.19,1
916022313296,2005-04,887.92,1
916022313296,2006-08,4239.3,1
916022313296,2006-09,8008.52,1
916022313296,NaT,9175.6,0
916027418321,1998-04,4766.49,1
916027418321,2019-12,9905.27,1
916027418321,NaT,5162.71,0
916030884438,1975-01,9942.2,1
916030884438,2011-03,6493.78,1
916030884438,2025-01,9925.23,1
916033199694,1971-08,9799.97,1
916033199694,1983-04,3321.97,1
916033199694,1987-06,7683.72,1
916033199694,2003-10,3965.59,1
916033199694,2011-07,0.0,1
916033199694,2012-04,8308.24,1
916033199694,2019-08,1817.67,1
916033199694,2022-10,9844.47,1
916033199694,NaT,9880.63,0
916033599984,1975-11,304.64,1
916033599984,1980-09,1134.28,1
916033599984,1988-02,9829.11,1
916033599984,1990-12,1454.93,1
916033599984,1996-07,3554.44,1
916033599984,2010-12,1054.76,1
916033599984,2020-04,0.0,1
916033599984,2024-02,3098.18,1
916033599984,NaT,8314.84,0
916035121678,1970-01,8716.88,1
916035121678,1985-04,1658.48,1
916035121678,1998-07,5994.27,1
916035121678,2011-12,1056.0,1
916035121678,2017-10,9664.5,1
916035121678,2023-07,0.0,1
916035121678,2024-07,3472.8,1
916035121678,NaT,4542.14,0
916039887139,1977-09,6438.44,1
