mobile,clv,avg_purchase_amount,max_purchase_amount,min_purchase_amount,purchase_count,last_purchase,first_purchase,age,income,gender,days_since_last_purchase,purchase_frequency,days_since_first_purchase,segment
916000728926,26785.96,3348.245,7118.2,0.0,8,2021-11-07,1970-05-11,20.0,1737823.38,1,1244.0,0.012760527435133987,20052.0,0
916006279398,40381.94,4038.1940000000004,8499.79,0.0,10,2018-08-25,1977-09-27,18.0,2860322.25,2,2414.0,0.020077633516262884,17356.0,1
916007263971,19507.31,4876.8275,7801.18,527.3,4,2015-07-30,1980-07-13,20.0,2170038.06,2,3536.0,0.009375,16336.0,0
916010621799,11310.06,3770.02,4221.05,3112.81,3,2020-07-02,2011-10-15,49.0,1082774.45,2,1737.0,0.028275212064090484,4920.0,0
916012178595,58437.020000000004,6493.002222222222,9651.86,3565.66,9,2016-01-24,1973-01-08,68.0,2716513.45,0,3358.0,0.017174479994911267,19079.0,1
916012951344,23716.34,3952.7233333333334,7790.21,0.0,6,2021-10-26,1978-07-07,43.0,875203.07,2,1256.0,0.011380160586710502,17073.0,0
916022313296,38986.770000000004,4873.3462500000005,9175.6,0.0,8,2006-09-04,1978-01-19,41.0,453670.12,0,6787.0,0.02295552367288379,17242.0,1
916027418321,19834.47,6611.490000000001,9905.27,4766.49,3,2019-12-01,1998-04-19,60.0,288266.02,0,1951.0,0.011398176291793313,9847.0,0
916030884438,26361.21,8787.07,9942.2,6493.78,3,2025-01-22,1975-01-20,19.0,1827054.33,1,72.0,0.004927456884752258,18337.0,1
916033199694,54622.26,5462.226000000001,9844.47,0.0,10,2022-10-02,1971-08-27,36.0,1085148.71,0,915.0,0.01607372481783112,19579.0,1
916033599984,28745.18,3193.908888888889,9829.11,0.0,9,2024-02-20,1975-11-04,69.0,2013832.51,2,409.0,0.015306122448979591,18049.0,0
916035121678,35105.07,4388.13375,9664.5,0.0,8,2024-07-18,1970-01-30,44.0,964382.89,1,260.0,0.012064545317448348,20153.0,1
916039887139,54114.89,6764.36125,9668.93,2659.37,8,2022-07-30,1977-09-28,51.0,2087950.77,1,979.0,0.014655593551538837,17355.0,1
916053002550,35571.6,5081.657142857142,9283.17,1121.87,7,2020-02-07,1971-08-25,38.0,2611596.81,0,1883.0,0.011865747542095153,19581.0,1
916054395639,24589.12,3512.7314285714283,8478.32,731.56,7,2014-12-07,1978-04-22,65.0,650590.83,2,3771.0,0.015697413664224846,17149.0,0
916067779246,23289.08,3327.011428571429,9066.01,0.0,7,2019-09-14,1986-08-30,68.0,1828230.83,1,2029.0,0.01740139211136891,14097.0,0
916069759864,37657.03,3765.703,6466.32,864.46,10,2018-04-18,1972-10-16,44.0,872903.24,0,2543.0,0.018050541516245487,19163.0,1
916076317824,52789.07,5865.452222222222,8997.37,968.7,9,2021-06-30,1974-09-21,49.0,2273931.05,1,1374.0,0.015804261297120113,18458.0,1
916078299575,3479.4799999999996,1159.8266666666666,2063.72,269.98,3,2020-08-09,1978-06-06,44.0,1599192.19,0,1699.0,0.005842259006815969,17104.0,0
916083651970,32461.37,6492.273999999999,9562.14,1493.76,5,2021-12-02,1970-05-10,56.0,1073844.76,1,1219.0,0.00796431984708506,20053.0,1
916083880626,26817.44,6704.36,9615.57,3977.86,4,2016-11-30,1992-12-27,69.0,1699421.55,0,3047.0,0.013731548232063165,11786.0,0
916084790270,27943.35,5588.67,9688.52,215.69,5,2013-10-04,2004-12-31,21.0,2012667.71,1,4200.0,0.046889653016567674,7399.0,0
916086899610,45996.880000000005,6570.982857142858,9439.68,711.59,7,2016-12-21,1982-09-10,35.0,2706539.38,0,3026.0,0.016771823336794184,15547.0,1
916089578218,46908.93,5212.1033333333335,8961.03,0.0,9,2021-03-04,1974-02-09,36.0,478244.11,0,1492.0,0.015706806282722512,18682.0,1
916094116768,58596.43,6510.714444444445,9780.01,897.16,9,2025-03-06,1979-10-12,26.0,751892.15,2,29.0,0.0162827161982873,16611.0,1
916106110279,42489.28,6069.897142857143,8756.77,1970.04,7,2014-12-19,1974-05-10,52.0,2213330.48,2,3759.0,0.014157621519584709,18592.0,1
916110724913,24830.23,4966.046,8812.32,1145.88,5,2022-07-26,1975-11-18,25.0,2034014.28,1,983.0,0.008796622097114709,18035.0,0
916117898946,32423.91,4052.98875,9481.49,187.2,8,2013-01-08,1980-05-04,62.0,407616.98,0,4469.0,0.020105554159336517,16406.0,0
916118543408,30975.7,6195.14,9628.54,4249.49,5,1987-04-18,1972-12-17,52.0,1093777.12,1,13866.0,0.02865329512893983,19101.0,2
916125857393,30550.43,5091.738333333334,8975.19,1689.67,6,2011-01-08,1972-10-08,38.0,1851781.61,0,5200.0,0.012883830792355593,19171.0,0
916138428506,48906.34,4890.634,9493.96,666.67,10,2024-06-24,1972-01-08,37.0,2643208.06,0,284.0,0.01565680288085173,19445.0,1
916139093888,44308.61,4430.861,9642.22,0.0,10,2012-10-30,1978-12-23,42.0,2855981.27,2,4539.0,0.02426202992317024,16904.0,1
916157437641,38843.6,6473.933333333333,9778.82,4639.67,6,2014-01-17,1980-07-29,55.0,756367.96,2,4095.0,0.014723926380368098,16320.0,1
916164510971,14307.37,4769.123333333334,9300.6,305.86,3,2024-03-15,2018-09-21,68.0,566240.52,0,385.0,0.04495504495504495,2387.0,0
916171055058,48322.12,6903.160000000001,9212.52,1265.43,7,2013-09-27,1973-06-08,22.0,897228.04,1,4207.0,0.014265335235378032,18928.0,1
916171347175,17570.81,4392.7025,8747.5,1256.35,4,1977-03-10,1977-03-10,68.0,2920759.36,0,17557.0,4.0,17557.0,2
916172893522,54474.93,6809.36625,9588.48,2336.62,8,2004-10-27,1976-12-07,50.0,1293953.19,1,7464.0,0.02356175142352248,17650.0,1
916172907376,28516.41,3564.55125,7017.22,1299.76,8,2024-04-27,1983-12-16,67.0,2878263.97,1,342.0,0.01627891202604626,15085.0,0
