name,age,income,mobile,gender,date,amount,store
Daniel Viswanathan,38.0,409956.78,917066091571,Female,2005-11-26,1056.84,Reliance Fresh
Daniel Viswanathan,38.0,409956.78,917066091571,Female,1974-12-27,917.52,More
Daniel Viswanathan,38.0,409956.78,917066091571,Female,1995-07-04,4216.35,Spencer's
Daniel Viswanathan,38.0,409956.78,917066091571,Female,2009-04-24,1772.24,Reliance Fresh
Daniel Viswanathan,38.0,409956.78,917066091571,Female,2016-02-29,6053.19,Big Bazaar
Daniel Viswanathan,38.0,409956.78,917066091571,Female,2015-03-12,,More
Daniel Viswanathan,38.0,409956.78,917066091571,Female,2014-06-05,6643.65,Reliance Fresh
Daniel Viswanathan,38.0,409956.78,917066091571,Female,1999-08-15,271.56,More
Daniel Viswanathan,38.0,409956.78,917066091571,Female,2007-02-14,9703.01,More
Daniel Viswanathan,38.0,409956.78,917066091571,Female,08-07-2001,3497.64,DMart
Azaan Dhar,37.0,2593992.53,916619986018,Female,2020-02-07,2630.77,Big Bazaar
Azaan Dhar,37.0,2593992.53,916619986018,Female,,8778.41,Big Bazaar
Azaan Dhar,37.0,2593992.53,916619986018,Female,2016-12-26,4058.42,More
Azaan Dhar,37.0,2593992.53,916619986018,Female,1991-05-21,435.73,DMart
Yachana Sagar,70.0,2377048.15,919078580665,Female,2005-07-27,6429.2,DMart
Yachana Sagar,70.0,2377048.15,919078580665,Female,,3951.37,DMart
Yachana Sagar,70.0,2377048.15,919078580665,Female,2011-04-09,1545.7,Reliance Fresh
Yachana Sagar,70.0,2377048.15,919078580665,Female,1997-01-04,9716.43,More
Yug Khosla,34.0,1202890.28,916183860832,Other,1983-04-01,266.51,DMart
Yug Khosla,34.0,1202890.28,916183860832,Other,1982-02-17,4561.79,
Yug Khosla,34.0,1202890.28,916183860832,Other,2000-12-29,6242.51,Big Bazaar
Yug Khosla,34.0,1202890.28,916183860832,Other,06-06-1991,4480.84,More
Yug Khosla,34.0,1202890.28,916183860832,Other,2016-08-22,7431.86,Big Bazaar
Yug Khosla,34.0,1202890.28,916183860832,Other,1970-08-03,5842.2,Big Bazaar
Yug Khosla,34.0,1202890.28,916183860832,Other,2012-06-09,3809.95,DMart
Yug Khosla,34.0,1202890.28,916183860832,Other,1993-11-12,9624.18,Reliance Fresh
Yug Khosla,34.0,1202890.28,916183860832,Other,2021-02-15,3912.93,Big Bazaar
Yug Khosla,34.0,1202890.28,916183860832,Other,2018-08-30,6852.2,Reliance Fresh
Chaitaly Setty,62.0,1513813.84,916782878018,Male,2015-08-29,7748.55,
Chaitaly Setty,62.0,1513813.84,916782878018,Male,1979-12-29,6323.0,Reliance Fresh
Chaitaly Setty,62.0,1513813.84,916782878018,Male,,5388.92,Reliance Fresh
Chaitaly Setty,62.0,1513813.84,916782878018,Male,1983-06-19,4011.19,
Prisha Andra,23.0,2482506.87,919226113732,Male,1987-07-12,346.03,Spencer's
Prisha Andra,23.0,2482506.87,919226113732,Male,2008-01-06,1404.08,DMart
Prisha Andra,23.0,2482506.87,919226113732,Male,1988-07-28,2827.67,Reliance Fresh
Prisha Andra,23.0,2482506.87,919226113732,Male,,9257.31,Spencer's
Prisha Andra,23.0,2482506.87,919226113732,Male,1986-08-30,6328.54,Big Bazaar
Vrishti Dixit,60.0,498359.16,917518692176,Other,1978-06-26,2693.89,DMart
Vrishti Dixit,60.0,498359.16,917518692176,Other,2016-12-17,7711.25,Big Bazaar
Vrishti Dixit,60.0,498359.16,917518692176,Other,1988-07-02,2306.99,More
Vrishti Dixit,60.0,498359.16,917518692176,Other,2009-10-16,3723.65,Big Bazaar
Vrishti Dixit,60.0,498359.16,917518692176,Other,1978-07-20,7912.52,Spencer's
Vrishti Dixit,60.0,498359.16,917518692176,Other,10-03-2019,6785.31,Reliance Fresh
Vrishti Dixit,60.0,498359.16,917518692176,Other,1983-06-26,6057.54,Big Bazaar
Dipta Ghose,39.0,1996714.26,918908291293,Male,1998-02-14,4892.45,Reliance Fresh
Dipta Ghose,39.0,1996714.26,918908291293,Male,05-01-1980,9244.55,Spencer's
Dipta Ghose,39.0,1996714.26,918908291293,Male,03-10-1974,5805.25,DMart
Dipta Ghose,39.0,1996714.26,918908291293,Male,2006-08-02,6657.85,Reliance Fresh
Dipta Ghose,39.0,1996714.26,918908291293,Male,1973-06-30,9457.95,Reliance Fresh
Dipta Ghose,39.0,1996714.26,918908291293,Male,,8520.8,Reliance Fresh
Kritika Brar,40.0,747095.04,917146660997,Other,2002-10-02,4307.98,More
Kritika Brar,40.0,747095.04,917146660997,Other,2006-08-10,2975.87,Spencer's
Kritika Brar,40.0,747095.04,917146660997,Other,2011-04-06,9513.08,More
Brinda Bali,30.0,1576360.52,919725874491,Other,2001-12-19,8765.12,Big Bazaar
Brinda Bali,30.0,1576360.52,919725874491,Other,1985-04-03,4693.3,Reliance Fresh
Brinda Bali,30.0,1576360.52,919725874491,Other,1996-11-28,9039.87,
Turvi Sachdev,68.0,1828230.83,916067779246,Male,,4977.22,Big Bazaar
Turvi Sachdev,68.0,1828230.83,916067779246,Male,15-02-2011,183.45,DMart
Turvi Sachdev,68.0,1828230.83,916067779246,Male,2007-08-12,3662.6,DMart
Turvi Sachdev,68.0,1828230.83,916067779246,Male,1972-09-14,1858.5,More
Turvi Sachdev,68.0,1828230.83,916067779246,Male,1987-02-27,9591.49,DMart
Turvi Sachdev,68.0,1828230.83,916067779246,Male,2004-12-17,4895.99,More
Turvi Sachdev,68.0,1828230.83,916067779246,Male,21-12-1978,,Big Bazaar
Vasudha Chhabra,59.0,364756.83,919319357265,Other,,3503.34,Spencer's
Vasudha Chhabra,59.0,364756.83,919319357265,Other,23-07-1993,5688.55,DMart
Vasudha Chhabra,59.0,364756.83,919319357265,Other,1986-07-30,6321.21,Big Bazaar
Vasudha Chhabra,59.0,364756.83,919319357265,Other,1990-12-04,9413.43,Reliance Fresh
Vasudha Chhabra,59.0,364756.83,919319357265,Other,1992-08-16,5915.51,Spencer's
Vasudha Chhabra,59.0,364756.83,919319357265,Other,2002-09-24,,More
Vasudha Chhabra,59.0,364756.83,919319357265,Other,1985-06-09,1372.66,DMart
Vasudha Chhabra,59.0,364756.83,919319357265,Other,1979-01-16,8437.2,DMart
Vasudha Chhabra,59.0,364756.83,919319357265,Other,1972-10-21,562.71,More
Ekantika Mander,34.0,2519771.64,916866179751,Female,2020-09-15,5842.16,DMart
Ekantika Mander,34.0,2519771.64,916866179751,Female,2022-07-19,8112.0,Big Bazaar
Ekantika Mander,34.0,2519771.64,916866179751,Female,1981-06-07,3322.69,Big Bazaar
Ekantika Mander,34.0,2519771.64,916866179751,Female,1978-04-20,7705.15,Spencer's
Ekantika Mander,34.0,2519771.64,916866179751,Female,13-05-2015,8746.6,More
Ekantika Mander,34.0,2519771.64,916866179751,Female,2010-05-16,7862.77,Spencer's
Ekantika Mander,34.0,2519771.64,916866179751,Female,,6103.2,Reliance Fresh
Ekantika Mander,34.0,2519771.64,916866179751,Female,2020-02-21,1180.62,DMart
Ekantika Mander,34.0,2519771.64,916866179751,Female,2012-05-26,7030.83,Big Bazaar
Qushi Gole,67.0,310865.5,918164216179,Female,2013-08-16,6749.28,Reliance Fresh
Qushi Gole,67.0,310865.5,918164216179,Female,1990-08-10,392.16,DMart
Qushi Gole,67.0,310865.5,918164216179,Female,,6025.49,DMart
Qushi Gole,67.0,310865.5,918164216179,Female,,,More
Qushi Gole,67.0,310865.5,918164216179,Female,1988-11-19,621.18,Spencer's
Qushi Gole,67.0,310865.5,918164216179,Female,2009-02-27,2589.07,
Qushi Gole,67.0,310865.5,918164216179,Female,1982-07-05,908.74,Reliance Fresh
Fitan Samra,20.0,1296456.25,917006479526,Other,1974-01-10,7453.9,Big Bazaar
